id,cacl2,smp,k,ca,p,al,mg,mo,latitude,longitude,date
404,5.78,6.75,0.65,3.93,8.43,0,1.44,43.1,-26.0968489,-50.7723838,2019-07-30 15:04
408,5.3,6.31,0.54,4.02,11.93,0,1.45,25.91,-26.0972976,-50.7729861,2019-07-30 15:26
415,4.94,6.08,0.52,3.22,7.84,0,1.37,33.6,-26.0978345,-50.773559,2019-07-30 16:00
433,5.01,6.28,0.51,4.16,6.49,0,1.22,27.68,-26.0973402,-50.7747483,2019-07-30 17:10
434,5.13,3.62,0.58,6.36,7.94,0,1.42,28.51,-26.0978613,-50.7752769,2019-07-30 17:14
435,5.37,6.51,0.67,3.78,15.63,0,1.34,35.25,-26.0983614,-50.7758913,2019-07-30 17:19
450,4.89,6.05,0.45,3.66,3.62,0.2,1.32,38.14,-26.0993953,-50.7781489,2019-07-31 11:12
463,4.39,5.86,0.28,3.14,7.83,0.7,1.19,31,-26.0994288,-50.777607,2019-07-31 12:01
464,5.12,6.24,0.76,3.95,13.22,0,1.16,35.53,-26.099415,-50.7770042,2019-07-31 13:02
501,5.67,6.23,0.63,4.08,8.57,0,1.78,28.16,-26.0651448,-50.7305726,2019-08-30 11:22
502,5.63,6.39,0.46,4.45,16.2,0,1.68,25.22,-26.0642742,-50.7295783,2019-08-30 11:26
503,5.54,6.43,0.55,4,8.43,0,1.55,27.74,-26.0633494,-50.7286128,2019-08-30 11:31
504,6.17,6.61,0.69,4.63,21.81,0,1.69,32.69,-26.0652289,-50.7295637,2019-08-30 11:36
505,4.97,6.02,0.62,3.62,13.52,0,1.24,29.34,-26.0660599,-50.7306432,2019-08-30 11:39
507,5.83,6.68,0.67,4.31,30.6,0,1.78,28.51,-26.0669717,-50.7316341,2019-08-30 11:45
